,city,state,males,females,lat,lng,state_name,city_state,pop,murdersPerState
666,Townsend,MT,1,0,46.3190976,-111.5208023,Montana,"Townsend, Montana",2049,29
667,Whitefish,MT,3,0,48.4099506,-114.3342212,Montana,"Whitefish, Montana",575,29
669,Adelanto,CA,2,1,34.579452,-117.336473432733,California,"Adelanto, California",31765,1340
670,Alameda,CA,1,0,37.7652065,-122.2416355,California,"Alameda, California",73812,1340
671,Alameda County,CA,2,0,37.67988045,-121.90767370057,California,"Alameda County, California",1510271,1340
672,Alhambra,CA,2,0,34.0855425,-118.134419455061,California,"Alhambra, California",83089,1340
674,Anaheim,CA,4,0,33.8347516,-117.911732,California,"Anaheim, California",336265,1340
676,Antioch,CA,11,1,37.9755365,-121.793642692233,California,"Antioch, California",102372,1340
677,Apple Valley,CA,2,0,34.537838,-117.219160542915,California,"Apple Valley, California",69135,1340
678,Arcata,CA,1,1,40.8665166,-124.0828396,California,"Arcata, California",17231,1340
680,Arlington Heights,CA,1,0,40.055725,-120.8902318,California,"Arlington Heights, California",75101,1340
682,Arroyo Grande,CA,3,0,35.1241377,-120.580416690972,California,"Arroyo Grande, California",17252,1340
683,Artesia,CA,2,0,33.8611649,-118.0782044,California,"Artesia, California",16522,1340
684,Athens,CA,1,0,33.9200153,-118.2811844,California,"Athens, California",21897,1340
685,Atwater,CA,2,1,37.353364,-120.603307202474,California,"Atwater, California",28168,1340
686,Auburn,CA,1,0,38.89575015,-121.071632729018,California,"Auburn, California",53380,1340
687,Azusa,CA,2,0,34.1338751,-117.9056046,California,"Azusa, California",46361,1340
688,Bakersfield,CA,18,2,35.223234,-118.953616630358,California,"Bakersfield, California",347483,1340
689,Baldwin Park,CA,2,0,34.0811095,-117.964517855105,California,"Baldwin Park, California",75390,1340
691,Banning,CA,2,0,33.96869745,-116.933657179283,California,"Banning, California",29603,1340
692,Barstow,CA,2,0,34.8957684,-117.0172077,California,"Barstow, California",22639,1340
693,Bayview,CA,2,0,40.7726266,-124.1839502,California,"Bayview, California",383,1340
695,Bell Gardens,CA,1,0,33.96561315,-118.152893298018,California,"Bell Gardens, California",42072,1340
696,Bellflower,CA,1,0,33.8825705,-118.1167679,California,"Bellflower, California",76616,1340
697,Berkeley,CA,5,0,37.8707755,-122.301852520212,California,"Berkeley, California",112580,1340
698,Bonita,CA,1,0,32.6648235,-117.015868912261,California,"Bonita, California",284,1340
700,Brawley,CA,1,0,33.0185295,-115.51593622179,California,"Brawley, California",24953,1340
701,Brea,CA,1,0,33.9181945,-117.8994423,California,"Brea, California",39282,1340
702,Burlingame,CA,1,0,37.58788275,-122.362741659182,California,"Burlingame, California",28806,1340
705,Calexico,CA,1,0,32.6858415,-115.491576158431,California,"Calexico, California",38572,1340
706,California,CA,1,0,37.786376,-122.2902807,California,"California, California",37253956,1340
707,California City,CA,1,1,35.1457415,-117.957901319624,California,"California City, California",14120,1340
709,Campbell,CA,2,1,37.28077545,-121.94971703802,California,"Campbell, California",39349,1340
710,Capitola,CA,1,0,36.97481995,-121.956979349893,California,"Capitola, California",9918,1340
711,Carlsbad,CA,2,0,33.1580933,-117.3505939,California,"Carlsbad, California",105328,1340
712,Carson,CA,3,0,33.8394267,-118.247031555986,California,"Carson, California",91714,1340
714,Ceres,CA,1,0,37.5972605,-120.94785635634,California,"Ceres, California",45417,1340
715,Chico,CA,1,1,39.7578465,-121.825710737511,California,"Chico, California",86187,1340
716,Chino Hills,CA,2,0,33.9926803,-117.760056,California,"Chino Hills, California",74799,1340
717,Citrus Heights,CA,3,0,38.6931659,-121.293648092323,California,"Citrus Heights, California",83301,1340
718,Clearlake,CA,1,0,38.9573975,-122.626309056056,California,"Clearlake, California",15250,1340
719,Coachella,CA,1,0,33.6795519,-116.176338,California,"Coachella, California",40704,1340
721,Colton,CA,1,0,34.05710205,-117.323778193832,California,"Colton, California",52154,1340
722,Commerce,CA,1,0,33.99507245,-118.144500755116,California,"Commerce, California",12823,1340
723,Compton,CA,15,1,33.9136248,-118.2468201,California,"Compton, California",96455,1340
724,Corona,CA,2,3,33.8594315,-117.551191741327,California,"Corona, California",152374,1340
726,Crescent City,CA,1,0,41.852958,-124.149809424351,California,"Crescent City, California",7643,1340
727,Cudahy,CA,1,0,33.9626205,-118.181598022271,California,"Cudahy, California",23805,1340
728,Culver City,CA,1,0,34.0211224,-118.3964665,California,"Culver City, California",38883,1340
731,Delano,CA,4,0,35.750376,-119.324115526073,California,"Delano, California",53041,1340
732,Delhi,CA,2,0,37.4339725,-120.776840006029,California,"Delhi, California",460,1340
733,Desert Hot Springs,CA,3,1,33.9614721,-116.553902282872,California,"Desert Hot Springs, California",25938,1340
734,Dinuba,CA,1,0,36.5432837,-119.3870656,California,"Dinuba, California",21453,1340
735,Dos Palos,CA,2,0,36.985468,-120.63113900795,California,"Dos Palos, California",4950,1340
736,Downey,CA,4,0,33.9400143,-118.1325688,California,"Downey, California",111772,1340
737,Duarte,CA,1,0,34.1394513,-117.9772873,California,"Duarte, California",21321,1340
739,East Palo Alto,CA,6,0,37.4688273,-122.1410751,California,"East Palo Alto, California",28155,1340
741,El Cajon,CA,1,0,32.7947731,-116.9625269,California,"El Cajon, California",99478,1340
742,El Dorado County,CA,1,0,38.851018,-119.9339696,California,"El Dorado County, California",181058,1340
743,El Monte,CA,1,2,34.0711695,-118.037854038196,California,"El Monte, California",113475,1340
747,Elk Grove,CA,1,0,38.4087993,-121.3716178,California,"Elk Grove, California",153015,1340
748,Emeryville,CA,1,0,37.838553,-122.302828817922,California,"Emeryville, California",10080,1340
749,Encinitas,CA,2,0,33.0369867,-117.2919818,California,"Encinitas, California",59518,1340
750,Encino,CA,1,0,34.1588478,-118.500478,California,"Encino, California",82,1340
751,Escondido,CA,3,0,33.1216751,-117.0814849,California,"Escondido, California",143911,1340
752,Exeter,CA,1,0,36.2960613,-119.1420517,California,"Exeter, California",10334,1340
754,Fairfield,CA,2,0,38.23362,-122.076905389269,California,"Fairfield, California",11117,1340
756,Farmersville,CA,1,0,36.2977283,-119.2067767,California,"Farmersville, California",10588,1340
757,Ferndale,CA,1,0,40.580644,-124.262242561122,California,"Ferndale, California",1371,1340
758,Fillmore,CA,1,0,34.3985613,-118.9125093,California,"Fillmore, California",15002,1340
759,Fontana,CA,4,3,34.1088175,-117.459930142996,California,"Fontana, California",196069,1340
761,Forestville,CA,3,0,38.4833785,-122.861585962542,California,"Forestville, California",136,1340
763,Fremont,CA,2,0,37.5482697,-121.9885719,California,"Fremont, California",214089,1340
765,Fresno,CA,27,4,36.7322115,-119.69970961134,California,"Fresno, California",494665,1340
766,Fresno County,CA,1,0,36.7463883,-119.673520541227,California,"Fresno County, California",930450,1340
767,Fullerton,CA,1,0,33.8725893,-117.9229191,California,"Fullerton, California",135161,1340
768,Galt,CA,3,0,38.300719,-121.330943415758,California,"Galt, California",23647,1340
769,Garden Grove,CA,3,1,33.7746292,-117.9463717,California,"Garden Grove, California",170883,1340
770,Gardena,CA,1,0,33.8883302,-118.3070892,California,"Gardena, California",58829,1340
772,Gilroy,CA,1,0,37.0092712,-121.589923029106,California,"Gilroy, California",48821,1340
774,Glendale,CA,1,0,34.1423455,-118.2483671,California,"Glendale, California",226721,1340
775,Greenfield,CA,1,0,35.2688739,-119.0028731,California,"Greenfield, California",16330,1340
778,Hawthorne,CA,2,0,33.9140135,-118.344055566788,California,"Hawthorne, California",84293,1340
779,Hayward,CA,7,0,37.6688205,-122.0807964,California,"Hayward, California",144186,1340
780,Hemet,CA,4,3,33.722095,-117.006519014514,California,"Hemet, California",78657,1340
781,Highland Park,CA,1,0,34.1099469,-118.1969828,California,"Highland Park, California",230,1340
783,Hollywood,CA,2,0,34.1028268,-118.3299899,California,"Hollywood, California",1000,1340
784,Humboldt County,CA,1,0,40.7335541,-123.879211498361,California,"Humboldt County, California",134623,1340
786,Huntington Beach,CA,4,0,33.6920535,-117.999249145138,California,"Huntington Beach, California",189992,1340
787,Huntington Park,CA,1,0,33.9816812,-118.2250725,California,"Huntington Park, California",58114,1340
788,Imperial,CA,2,0,32.7892118,-114.5559618,California,"Imperial, California",14758,1340
789,Indio,CA,2,0,33.74385575,-116.197037830001,California,"Indio, California",76036,1340
790,Inglewood,CA,8,3,33.9616801,-118.3531311,California,"Inglewood, California",109673,1340
792,Irvine,CA,1,1,33.6862707,-117.8258199,California,"Irvine, California",212375,1340
793,Ivanhoe,CA,1,0,36.385024,-119.220297914299,California,"Ivanhoe, California",464,1340
796,Kerman,CA,1,0,36.7221815,-120.06246080492,California,"Kerman, California",13544,1340
797,Kern County,CA,1,0,35.2934231,-118.720389325669,California,"Kern County, California",839631,1340
798,King City,CA,4,1,36.226628,-121.15856737655,California,"King City, California",12874,1340
800,La Mesa,CA,1,0,32.7678288,-117.0230839,California,"La Mesa, California",57065,1340
802,La Puente,CA,2,0,34.0331365,-117.952190575235,California,"La Puente, California",39816,1340
803,La Verne,CA,1,0,34.1008426,-117.7678355,California,"La Verne, California",31063,1340
804,Laguna Hills,CA,1,0,33.65719445,-117.349398959129,California,"Laguna Hills, California",30344,1340
805,Laguna Niguel,CA,1,0,33.5225261,-117.7075526,California,"Laguna Niguel, California",62979,1340
806,Lake Elsinore,CA,1,1,33.6680772,-117.3272615,California,"Lake Elsinore, California",51821,1340
808,Lakewood,CA,2,0,33.84713195,-118.133588266925,California,"Lakewood, California",80048,1340
809,Lancaster,CA,2,1,34.6998995,-118.187362477583,California,"Lancaster, California",156633,1340
810,Lawndale,CA,1,0,33.88711,-118.3531481,California,"Lawndale, California",32769,1340
811,Le Grand,CA,1,0,37.217724,-120.257260197963,California,"Le Grand, California",938,1340
814,Live Oak,CA,2,0,36.990384,-121.978753299844,California,"Live Oak, California",8392,1340
815,Livermore,CA,1,0,37.731528,-121.731063,California,"Livermore, California",80968,1340
816,Livingston,CA,1,0,37.3868826,-120.7235329,California,"Livingston, California",3485,1340
817,Long Beach,CA,29,4,33.7774658,-118.1884871,California,"Long Beach, California",462257,1340
818,Los Angeles,CA,286,17,34.0501713,-118.2419714,California,"Los Angeles, California",3792621,1340
819,Los Angeles ,CA,1,0,34.0536781,-118.2427025,California,"Los Angeles , California",3792621,1340
820,Los Angeles County,CA,1,0,34.24140515,-118.145520591821,California,"Los Angeles County, California",9818605,1340
821,Los Banos,CA,3,0,37.0655625,-120.841982360549,California,"Los Banos, California",35972,1340
823,Lynwood,CA,3,0,33.925251,-118.203514238926,California,"Lynwood, California",69772,1340
824,Madera,CA,5,0,36.942141,-120.171452075392,California,"Madera, California",61416,1340
825,Madera County,CA,1,0,37.2705719,-119.635709495741,California,"Madera County, California",150865,1340
829,Maywood,CA,2,0,33.98833675,-118.188429638249,California,"Maywood, California",27395,1340
830,McFarland,CA,2,0,35.677856,-119.229312899915,California,"McFarland, California",12707,1340
831,Menifee,CA,2,2,33.6864432,-117.1770437,California,"Menifee, California",302,1340
832,Merced,CA,2,0,37.3029568,-120.4843269,California,"Merced, California",78958,1340
833,Merced County,CA,1,0,37.1869636,-120.609426370155,California,"Merced County, California",255793,1340
834,Milpitas,CA,1,0,37.43143895,-121.885265953734,California,"Milpitas, California",66790,1340
835,Modesto,CA,12,2,37.636724,-120.90148524417,California,"Modesto, California",201165,1340
836,Monrovia,CA,1,0,34.201558,-118.1734475,California,"Monrovia, California",36590,1340
837,Montclair,CA,2,0,34.07171275,-117.697687709851,California,"Montclair, California",36664,1340
838,Monterey,CA,1,0,36.5845085,-121.866819010438,California,"Monterey, California",27810,1340
839,Moreno Valley,CA,5,1,33.921961,-117.200107316579,California,"Moreno Valley, California",193365,1340
840,Mount Hope,CA,1,0,32.7142185,-117.1075309,California,"Mount Hope, California",1103,1340
842,Napa,CA,1,0,38.32377705,-122.3355205746,California,"Napa, California",76915,1340
843,National City,CA,1,0,32.6781085,-117.0991967,California,"National City, California",58582,1340
844,Newark,CA,1,0,37.521024,-122.026348406922,California,"Newark, California",1176,1340
845,Newport Beach,CA,1,1,33.6170092,-117.9294401,California,"Newport Beach, California",85186,1340
846,Norco,CA,1,0,33.9277225,-117.555622303611,California,"Norco, California",27063,1340
847,Norwalk,CA,1,0,33.9164121,-118.0718578,California,"Norwalk, California",105549,1340
849,Oakdale,CA,1,0,37.7665947,-120.8471545,California,"Oakdale, California",20675,1340
850,Oakland,CA,71,14,37.8043808,-122.2708166,California,"Oakland, California",390724,1340
851,Oceanside,CA,2,1,33.1958696,-117.3794834,California,"Oceanside, California",167086,1340
852,Ontario,CA,3,0,34.0633443,-117.6508876,California,"Ontario, California",163924,1340
853,Orange,CA,3,1,33.7878549,-117.8530908,California,"Orange, California",136416,1340
854,Orange County,CA,1,0,33.6671869,-117.720593399723,California,"Orange County, California",3010232,1340
855,Orange Cove,CA,1,0,36.606639,-119.334362302996,California,"Orange Cove, California",9078,1340
858,Oroville,CA,3,1,39.4900785,-121.564487694774,California,"Oroville, California",15546,1340
859,Oxnard,CA,7,3,34.1975048,-119.1770516,California,"Oxnard, California",197899,1340
861,Palermo,CA,2,0,39.435057,-121.535258923712,California,"Palermo, California",1535,1340
862,Palm Desert,CA,1,1,33.7404645,-116.369105578632,California,"Palm Desert, California",48445,1340
863,Palmdale,CA,5,1,34.585428,-118.124321485448,California,"Palmdale, California",152750,1340
864,Palmetto,CA,1,0,33.7453584,-117.7771984,California,"Palmetto, California",12606,1340
865,Palo Alto,CA,1,0,37.442156,-122.1634472,California,"Palo Alto, California",64403,1340
866,Paramount,CA,2,0,33.8992926,-118.164949839115,California,"Paramount, California",54098,1340
867,Pasadena,CA,5,0,34.18455365,-118.173559873254,California,"Pasadena, California",137122,1340
869,Patterson,CA,1,0,37.471623,-121.1296949,California,"Patterson, California",452,1340
870,Perris,CA,5,0,33.7919875,-117.224335913065,California,"Perris, California",68386,1340
871,Pico Rivera,CA,1,0,33.9830688,-118.096735,California,"Pico Rivera, California",62942,1340
872,Pittsburg,CA,2,1,38.021408,-121.885031239909,California,"Pittsburg, California",63264,1340
873,Pixley,CA,2,0,35.9685649,-119.2917785,California,"Pixley, California",589,1340
874,Placentia,CA,1,0,33.8722371,-117.8703363,California,"Placentia, California",50533,1340
875,Placerville,CA,1,0,38.730703,-120.796312705405,California,"Placerville, California",10389,1340
877,Pomona,CA,27,2,34.0552886,-117.7522793,California,"Pomona, California",149058,1340
878,Port Hueneme,CA,1,0,34.159363,-119.202560883767,California,"Port Hueneme, California",21723,1340
879,Porterville,CA,6,1,36.0625905,-118.982960627645,California,"Porterville, California",54165,1340
880,Portola,CA,1,0,39.8194815,-120.467319215198,California,"Portola, California",2104,1340
881,Rancho Cordova,CA,2,0,38.5676485,-121.223249320424,California,"Rancho Cordova, California",64776,1340
882,Rancho Cucamonga,CA,1,0,34.1242304,-117.565564610376,California,"Rancho Cucamonga, California",165269,1340
883,Red Bluff,CA,2,0,40.182967,-122.241172753813,California,"Red Bluff, California",14076,1340
884,Redding,CA,2,0,40.5018995,-122.385954041643,California,"Redding, California",89861,1340
885,Redlands,CA,1,0,34.072662,-117.093417,California,"Redlands, California",68747,1340
886,Redondo Beach,CA,3,0,33.8491816,-118.3884078,California,"Redondo Beach, California",66748,1340
888,Rialto,CA,3,0,34.1064001,-117.3703235,California,"Rialto, California",99171,1340
889,Richmond,CA,13,1,37.9357576,-122.3477486,California,"Richmond, California",103701,1340
890,Ridgecrest,CA,1,1,35.6225064,-117.6699414,California,"Ridgecrest, California",27616,1340
892,Riverside,CA,8,0,33.9458443,-117.410096815875,California,"Riverside, California",2208,1340
893,Rocklin,CA,1,0,38.7907339,-121.2357828,California,"Rocklin, California",56974,1340
896,Rosemead,CA,1,1,34.0676169,-118.0879763,California,"Rosemead, California",53764,1340
897,Rosemont,CA,1,0,38.5475445,-121.356506713716,California,"Rosemont, California",4202,1340
898,Roseville,CA,1,0,38.7233728,-121.185875818103,California,"Roseville, California",118788,1340
899,Sacramento,CA,37,4,38.5815719,-121.4943996,California,"Sacramento, California",466488,1340
900,Salinas,CA,26,2,36.6604725,-121.684426752882,California,"Salinas, California",150441,1340
901,San Bernardino,CA,32,0,34.1083449,-117.2897652,California,"San Bernardino, California",209924,1340
902,San Bruno,CA,1,0,37.6230195,-122.428982086872,California,"San Bruno, California",41114,1340
903,San Diego,CA,24,5,32.7469869,-117.21177,California,"San Diego, California",1307402,1340
904,San Francisco,CA,32,3,37.7789601,-122.419199,California,"San Francisco, California",805235,1340
905,San Jacinto,CA,5,0,33.794793,-117.006396015464,California,"San Jacinto, California",44199,1340
906,San Jose,CA,24,4,37.3438502,-121.8831349,California,"San Jose, California",945942,1340
907,San Leandro,CA,3,0,37.704815,-122.167537362919,California,"San Leandro, California",84950,1340
909,San Marcos,CA,1,0,33.1433723,-117.1661449,California,"San Marcos, California",83781,1340
910,San Mateo,CA,1,0,37.5446217,-122.3091165,California,"San Mateo, California",97207,1340
911,San Pablo,CA,1,0,37.9650335,-122.346967124381,California,"San Pablo, California",29139,1340
913,San Ysidro,CA,1,0,32.5520013,-117.0430813,California,"San Ysidro, California",193,1340
914,Sanger,CA,1,0,36.708006,-119.5559652,California,"Sanger, California",24270,1340
915,Santa Ana,CA,8,2,33.7490525,-117.8620053,California,"Santa Ana, California",324528,1340
916,Santa Barbara,CA,2,0,34.3999755,-119.703022549307,California,"Santa Barbara, California",88410,1340
917,Santa Clarita,CA,1,1,34.3916641,-118.542586,California,"Santa Clarita, California",176320,1340
918,Santa Cruz,CA,4,1,36.97588665,-122.033772667443,California,"Santa Cruz, California",47420,1340
919,Santa Fe Springs,CA,1,0,33.9472359,-118.0853451,California,"Santa Fe Springs, California",16223,1340
920,Santa Maria,CA,1,0,34.9323829,-120.453793565393,California,"Santa Maria, California",99553,1340
921,Santa Monica,CA,6,2,34.008617,-118.494754033795,California,"Santa Monica, California",89736,1340
922,Santa Paula,CA,2,2,34.3554985,-119.064954691622,California,"Santa Paula, California",29321,1340
923,Santa Rosa,CA,4,0,38.367814,-122.76598019449,California,"Santa Rosa, California",167815,1340
924,Saratoga,CA,1,0,37.2661735,-122.025781637074,California,"Saratoga, California",29926,1340
925,Seaside,CA,1,0,36.62581365,-121.817032663508,California,"Seaside, California",33025,1340
926,Seven Oaks,CA,1,0,34.1863979,-116.914197,California,"Seven Oaks, California",111,1340
928,Simi Valley,CA,4,3,34.2657598,-118.731346417536,California,"Simi Valley, California",124237,1340
929,Skyline,CA,1,0,32.74169715,-116.95241405981,California,"Skyline, California",851,1340
930,Sonoma,CA,1,0,37.8761542,-122.238687263807,California,"Sonoma, California",10648,1340
931,South El Monte,CA,1,0,34.0488705,-118.045758102388,California,"South El Monte, California",20116,1340
932,South Gate,CA,3,0,33.93820895,-118.187815015393,California,"South Gate, California",94396,1340
933,South Lake Tahoe,CA,2,0,38.92880455,-119.987831498967,California,"South Lake Tahoe, California",21403,1340
934,Stanton,CA,2,1,33.7947696,-117.99507215753,California,"Stanton, California",38186,1340
935,Stockton,CA,20,2,37.9577016,-121.2907796,California,"Stockton, California",291707,1340
936,Suisun City,CA,2,0,38.2475585,-122.007411375716,California,"Suisun City, California",28111,1340
937,Sun Valley,CA,1,0,34.2175042,-118.3703576,California,"Sun Valley, California",1406,1340
938,Sunnyvale,CA,3,0,37.3688301,-122.0363496,California,"Sunnyvale, California",140081,1340
939,Temecula,CA,2,1,33.49358875,-117.117431506522,California,"Temecula, California",100097,1340
940,Templeton,CA,1,0,35.5606196,-120.700717473692,California,"Templeton, California",362,1340
941,Thornton,CA,1,0,38.2260268,-121.4246733,California,"Thornton, California",407,1340
943,Three Rivers,CA,2,0,36.420443,-118.880292633684,California,"Three Rivers, California",7811,1340
945,Torrance,CA,2,0,33.8358492,-118.3406288,California,"Torrance, California",145438,1340
946,Tulare,CA,5,0,35.6521754,-118.3224811,California,"Tulare, California",59278,1340
947,Tulare County,CA,2,0,36.26992445,-118.7962660625,California,"Tulare County, California",442179,1340
948,Turlock,CA,4,0,37.501842,-120.845998000566,California,"Turlock, California",68549,1340
949,Tustin,CA,1,0,33.7458511,-117.826166,California,"Tustin, California",75540,1340
950,Twentynine Palms,CA,1,0,34.16476,-116.036562499,California,"Twentynine Palms, California",25048,1340
951,Union City,CA,6,0,37.5907215,-122.017324013925,California,"Union City, California",69516,1340
952,Vacaville,CA,2,0,38.34234285,-121.90154500471,California,"Vacaville, California",92428,1340
954,Vallejo,CA,20,5,38.114559,-122.231476112523,California,"Vallejo, California",115942,1340
955,Valley Center,CA,1,1,33.2183701,-117.0341967,California,"Valley Center, California",6822,1340
957,Ventura,CA,5,0,34.270273,-119.242605355028,California,"Ventura, California",823318,1340
958,Ventura County,CA,2,0,34.240837,-118.6369332,California,"Ventura County, California",823318,1340
959,Victorville,CA,7,0,34.5406414,-117.341067557552,California,"Victorville, California",115903,1340
960,Visalia,CA,9,1,36.3302284,-119.2920585,California,"Visalia, California",124442,1340
961,Vista,CA,1,0,33.2000368,-117.2425355,California,"Vista, California",93834,1340
962,Walnut Creek,CA,1,0,37.894375,-122.036438810635,California,"Walnut Creek, California",64173,1340
963,Wasco,CA,2,0,35.5941238,-119.3409457,California,"Wasco, California",25545,1340
964,Waterford,CA,1,0,37.63976,-120.758464956439,California,"Waterford, California",8456,1340
965,Watsonville,CA,3,0,36.88707915,-121.785400164675,California,"Watsonville, California",51199,1340
966,Watts,CA,1,0,33.9405674,-118.2428485,California,"Watts, California",324,1340
967,Weed,CA,1,0,41.41327,-122.387635996861,California,"Weed, California",2967,1340
969,Westmont,CA,2,0,33.945206,-118.298403217178,California,"Westmont, California",24685,1340
970,Whittier,CA,8,1,34.0270245,-118.055008936061,California,"Whittier, California",220,1340
971,Willowbrook,CA,3,0,33.9169602,-118.2550726,California,"Willowbrook, California",8540,1340
972,Wilmington,CA,2,0,33.780018,-118.2625711,California,"Wilmington, California",70851,1340
973,Windsor,CA,1,0,38.532455,-122.760339585445,California,"Windsor, California",26801,1340
974,Winnetka,CA,1,0,34.2133375,-118.5720309,California,"Winnetka, California",12187,1340
975,Woodlake,CA,1,0,36.4110775,-119.093757762045,California,"Woodlake, California",7279,1340
976,Yorba Linda,CA,1,0,33.890981,-117.773014058691,California,"Yorba Linda, California",64234,1340
977,Yuba City,CA,2,0,39.1404477,-121.6169108,California,"Yuba City, California",64925,1340
978,Yuba County,CA,1,0,39.27887435,-121.438477528395,California,"Yuba County, California",72155,1340
979,Yucaipa,CA,2,0,34.0407185,-117.051676166367,California,"Yucaipa, California",51367,1340
980,Yucca Valley,CA,1,0,34.13471065,-116.413682243759,California,"Yucca Valley, California",20700,1340
981,Annapolis,CA,0,1,38.7218559,-123.3697306,California,"Annapolis, California",38394,1340
982,Chino,CA,0,1,34.0133561,-117.690075,California,"Chino, California",77983,1340
983,French Camp,CA,0,1,37.8764182,-121.271755995002,California,"French Camp, California",174,1340
984,Hanford,CA,0,1,36.2940205,-119.676475172905,California,"Hanford, California",53967,1340
988,Mad River,CA,0,1,40.4139261,-123.4730396,California,"Mad River, California",2821,1340
989,Montebello,CA,0,1,34.009457,-118.1053467,California,"Montebello, California",62500,1340
991,Paradise,CA,0,1,39.763452,-121.606789153044,California,"Paradise, California",26218,1340
992,Quincy,CA,0,1,39.9310755,-120.95349594037,California,"Quincy, California",7972,1340
993,Redwood City,CA,0,1,37.4852152,-122.2363548,California,"Redwood City, California",76815,1340
994,San Gabriel,CA,0,1,34.0938138,-118.097575695867,California,"San Gabriel, California",39718,1340
996,Taft,CA,0,1,35.125984,-119.411787865182,California,"Taft, California",9327,1340
998,Temple City,CA,0,1,34.1031775,-118.052829032497,California,"Temple City, California",35558,1340
999,Winters,CA,0,1,38.5249065,-121.9708017,California,"Winters, California",6624,1340
1001,Adams,PA,1,0,39.8708972,-77.2395963,Pennsylvania,"Adams, Pennsylvania",441603,510
1002,Allegheny Township,PA,1,0,40.4356765,-80.0041917933408,Pennsylvania,"Allegheny Township, Pennsylvania",6738,510
1003,Allentown,PA,9,1,40.6022032,-75.4716219,Pennsylvania,"Allentown, Pennsylvania",169,510
1004,Altoona,PA,3,0,40.518681,-78.394736,Pennsylvania,"Altoona, Pennsylvania",933,510
1007,Ashville,PA,2,2,40.5600684,-78.5486289,Pennsylvania,"Ashville, Pennsylvania",2212,510
1009,Barree,PA,2,0,40.5853461,-78.1005628,Pennsylvania,"Barree, Pennsylvania",469,510
1010,Beaver County,PA,1,1,40.6680585,-80.3341342359723,Pennsylvania,"Beaver County, Pennsylvania",5636,510
1011,Beaver Falls,PA,1,0,40.7520097,-80.3192295,Pennsylvania,"Beaver Falls, Pennsylvania",197,510
1013,Bessemer,PA,1,1,40.1281278,-79.5550387,Pennsylvania,"Bessemer, Pennsylvania",27456,510
1015,Bethlehem,PA,2,1,40.6178915,-75.3786521,Pennsylvania,"Bethlehem, Pennsylvania",3607,510
1016,Blair County,PA,3,1,40.4870748,-78.3682329,Pennsylvania,"Blair County, Pennsylvania",127089,510
1017,Bloomfield,PA,1,0,40.4179085,-77.1898027488888,Pennsylvania,"Bloomfield, Pennsylvania",20486,510
1018,Braddock,PA,1,0,40.4034024,-79.8683824,Pennsylvania,"Braddock, Pennsylvania",21,510
1019,Bucks County,PA,1,1,40.3285875,-75.1299237574973,Pennsylvania,"Bucks County, Pennsylvania",625249,510
1020,Caln,PA,1,0,39.9909398,-75.7802235,Pennsylvania,"Caln, Pennsylvania",13817,510
1021,Canton,PA,1,1,41.656464,-76.8532927,Pennsylvania,"Canton, Pennsylvania",10292,510
1022,Carlisle,PA,1,0,40.201824,-77.1893888,Pennsylvania,"Carlisle, Pennsylvania",2214,510
1025,Chambersburg,PA,2,1,39.9405903,-77.6598624,Pennsylvania,"Chambersburg, Pennsylvania",200,510
1026,Chanceford,PA,1,1,39.9725187,-76.7483657,Pennsylvania,"Chanceford, Pennsylvania",6111,510
1027,Cheltenham,PA,1,0,40.0609445,-75.0940625,Pennsylvania,"Cheltenham, Pennsylvania",36793,510
1028,Chester,PA,15,1,39.849557,-75.3557458,Pennsylvania,"Chester, Pennsylvania",159,510
1029,Clairton,PA,1,0,40.292292,-79.881715,Pennsylvania,"Clairton, Pennsylvania",6796,510
1030,Clymer,PA,1,0,40.6681213,-79.0116985,Pennsylvania,"Clymer, Pennsylvania",1698,510
1031,Columbia,PA,1,0,41.0389186,-76.4191791,Pennsylvania,"Columbia, Pennsylvania",740,510
1032,Conewago,PA,1,0,40.1581491,-76.660246,Pennsylvania,"Conewago, Pennsylvania",7085,510
1033,Danielsville,PA,1,1,40.7945388,-75.5271292,Pennsylvania,"Danielsville, Pennsylvania",560,510
1034,Darby,PA,1,0,39.9184461,-75.2590721,Pennsylvania,"Darby, Pennsylvania",720,510
1035,Duquesne,PA,2,0,40.3814581,-79.8597708,Pennsylvania,"Duquesne, Pennsylvania",1763,510
1037,East Fallowfield,PA,1,0,40.4111493,-80.0230862,Pennsylvania,"East Fallowfield, Pennsylvania",7449,510
1038,East Hills,PA,1,0,40.6584314,-75.3432351,Pennsylvania,"East Hills, Pennsylvania",6955,510
1039,East Huntingdon,PA,1,0,40.1444301,-79.582819,Pennsylvania,"East Huntingdon, Pennsylvania",7963,510
1041,Easton,PA,3,1,40.6916081,-75.2099866,Pennsylvania,"Easton, Pennsylvania",7490,510
1043,Erie,PA,3,0,42.129461,-80.085239,Pennsylvania,"Erie, Pennsylvania",18135,510
1045,Fairmount,PA,1,0,39.9522975,-75.190211,Pennsylvania,"Fairmount, Pennsylvania",720,510
1046,Fayette,PA,1,0,39.921022,-79.6663803,Pennsylvania,"Fayette, Pennsylvania",4619,510
1048,Forward,PA,1,0,40.1314667,-78.8647451,Pennsylvania,"Forward, Pennsylvania",80,510
1049,Frankford,PA,1,0,40.0281674,-75.084896,Pennsylvania,"Frankford, Pennsylvania",847,510
